index;x;y;z
0;-0.432419;0.892227;-0.173889
1;-0.427444;0.888214;-0.173279
2;-0.422318;0.895630;-0.166138
3;-0.425659;0.882278;-0.157425
4;-0.426773;0.889008;-0.165146
5;-0.420609;0.890686;-0.162170
6;-0.425507;0.891266;-0.160019
7;-0.428711;0.891525;-0.158096
8;-0.422073;0.887878;-0.153961
9;-0.423523;0.897064;-0.157181
10;-0.423187;0.892700;-0.164520
11;-0.433075;0.886856;-0.155151
12;-0.432281;0.892197;-0.152832
13;-0.420746;0.885620;-0.158127
14;-0.432983;0.887390;-0.156189
15;-0.434006;0.885788;-0.165146
16;-0.433029;0.881027;-0.154968
17;-0.428375;0.895432;-0.177490
18;-0.419647;0.885406;-0.164001
19;-0.428421;0.892151;-0.164062
20;-0.425873;0.888245;-0.148895
21;-0.416077;0.890045;-0.148499
22;-0.413132;0.896057;-0.167511
23;-0.428726;0.890152;-0.153427
24;-0.432281;0.897705;-0.158600
25;-0.420731;0.895508;-0.155914
26;-0.421127;0.893967;-0.167099
27;-0.423279;0.890549;-0.160004
28;-0.416473;0.896667;-0.167969
29;-0.406540;0.902313;-0.184219
30;-0.427887;0.881607;-0.144424
31;-0.428467;0.884415;-0.155533
32;-0.414505;0.895508;-0.157150
33;-0.403168;0.906372;-0.172729
34;-0.408798;0.897308;-0.171036
35;-0.422379;0.891479;-0.144516
36;-0.415359;0.890549;-0.165649
37;-0.410248;0.898285;-0.155472
38;-0.421524;0.897842;-0.166763
39;-0.422302;0.895493;-0.158905
40;-0.418915;0.891998;-0.160599
41;-0.416245;0.894821;-0.171173
42;-0.417603;0.892822;-0.168243
43;-0.425323;0.885757;-0.153030
44;-0.425583;0.891632;-0.161621
45;-0.418198;0.896576;-0.163864
46;-0.422440;0.894470;-0.168518
47;-0.430771;0.889465;-0.151764
48;-0.416580;0.899872;-0.154587
49;-0.418808;0.896332;-0.167984
50;-0.425903;0.897003;-0.161484
51;-0.423645;0.891556;-0.163254
52;-0.419342;0.888840;-0.164825
53;-0.414658;0.894913;-0.169861
54;-0.409134;0.894196;-0.163544
55;-0.423477;0.891098;-0.159714
56;-0.423019;0.886627;-0.163742
57;-0.418015;0.890457;-0.158875
58;-0.422684;0.895187;-0.168854
59;-0.427292;0.889908;-0.163666
60;-0.427689;0.890228;-0.160507
61;-0.424164;0.895615;-0.161911
62;-0.420456;0.897034;-0.156693
63;-0.416733;0.896286;-0.178894
64;-0.418884;0.886002;-0.142487
65;-0.418640;0.898163;-0.147675
66;-0.409180;0.898331;-0.166550
67;-0.412140;0.902145;-0.161789
68;-0.407562;0.893829;-0.155975
69;-0.413635;0.897217;-0.150787
70;-0.408463;0.890640;-0.163635
71;-0.421646;0.893082;-0.148575
72;-0.411057;0.905746;-0.163086
73;-0.410873;0.903046;-0.161911
74;-0.414047;0.897125;-0.149521
75;-0.411621;0.899506;-0.145493
76;-0.403702;0.899475;-0.160782
77;-0.407745;0.901581;-0.156464
78;-0.407043;0.897156;-0.159058
79;-0.396637;0.904648;-0.151199
80;-0.396622;0.904907;-0.168091
81;-0.402176;0.898041;-0.149185
82;-0.404190;0.895416;-0.145966
83;-0.402206;0.903061;-0.161713
84;-0.402237;0.899475;-0.160446
85;-0.404221;0.894531;-0.150726
86;-0.387756;0.890152;-0.148956
87;-0.383713;0.882675;-0.147598
88;-0.385071;0.919678;-0.160034
89;-0.327057;0.944321;-0.134979
90;-0.274994;0.924911;-0.164459
91;-0.280685;0.913406;-0.102768
92;-0.329651;0.920929;-0.115509
93;-0.360977;0.956482;-0.109833
94;-0.387253;0.994263;-0.120102
95;-0.410873;0.937881;-0.063568
96;-0.482147;0.871078;-0.024185
97;-0.475098;0.877838;-0.048691
98;-0.546921;0.879837;-0.137451
99;-0.604858;0.832260;-0.077545
100;-0.659653;0.853317;-0.069214
101;-0.681870;0.877213;-0.148941
102;-0.748550;0.993378;-0.169678
103;-0.883698;1.003418;-0.210373
104;-0.946793;1.059189;-0.259109
105;-0.926331;1.186020;-0.185776
106;-0.867752;1.319305;-0.202103
107;-0.765228;1.282074;-0.136490
108;-0.678116;1.134109;-0.065414
109;-0.569244;0.981293;0.000244
110;-0.443588;0.827591;0.039444
111;-0.369431;0.654587;0.027313
112;-0.291046;0.598190;0.090607
113;-0.190063;0.609024;0.098450
114;-0.219452;0.783722;0.081055
115;-0.360580;1.104401;0.146759
116;-0.458435;1.275192;-0.002533
117;-0.632065;1.333801;-0.121201
118;-0.698669;1.361649;-0.039963
119;-0.781326;1.330505;-0.038803
120;-0.927475;1.357269;0.010513
121;-0.955353;1.394760;-0.049667
122;-0.990128;1.226166;-0.173889
123;-1.054489;0.980209;-0.167496
124;-1.081909;0.798920;-0.019745
125;-1.052078;0.745743;-0.024094
126;-1.086273;0.738251;-0.157135
127;-0.992767;0.803833;-0.128159
128;-0.897690;1.119980;-0.088089
129;-0.942902;1.601624;-0.230850
130;-1.050888;1.998398;-0.296570
131;-0.818054;1.890762;-0.329727
132;-0.583588;1.639557;-0.190689
133;-0.411530;1.406631;-0.107224
134;-0.229324;1.097168;-0.027802
135;-0.119904;0.864822;0.062225
136;0.056183;0.727585;0.111053
137;0.011627;0.740860;0.216690
138;-0.083649;0.921249;0.150360
139;-0.326324;1.144699;-0.101624
140;-0.522491;1.272339;-0.012009
141;-0.623215;1.465256;0.048981
142;-0.710480;1.649002;-0.012894
143;-0.886932;1.713379;-0.146103
144;-1.078278;1.701126;-0.111404
145;-1.272018;1.487381;-0.171051
146;-1.330048;1.138229;-0.113388
147;-1.130142;0.812592;0.100250
148;-1.038193;0.675598;0.020798
149;-1.063324;0.707489;-0.109039
150;-0.960754;0.736191;-0.136780
151;-0.866577;1.023727;-0.113113
152;-0.886230;1.432831;-0.247833
153;-1.064835;1.879517;-0.204330
154;-0.961395;1.906723;-0.235123
155;-0.722412;1.717056;-0.125961
156;-0.542938;1.568161;-0.034775
157;-0.263260;1.320999;0.074570
158;-0.109421;1.045273;0.051346
159;0.040268;0.836060;0.081680
160;-0.003311;0.815292;0.162094
161;-0.163696;0.845688;0.222076
162;-0.318069;0.949982;0.111816
163;-0.494736;1.122086;-0.005737
164;-0.567230;1.294281;-0.048264
165;-0.655396;1.414581;-0.071548
166;-0.824524;1.515732;-0.250366
167;-1.005539;1.476593;-0.061890
168;-1.127167;1.434845;-0.032791
169;-1.132767;1.212982;-0.085342
170;-1.164719;0.969986;0.003281
171;-1.109039;0.761841;0.113190
172;-1.181870;0.801193;0.065231
173;-1.051865;0.745270;-0.076080
174;-0.846344;0.867111;-0.005661
175;-0.794296;1.106216;-0.110519
176;-0.928253;1.497299;-0.258698
177;-1.124527;1.743820;-0.205780
178;-0.966202;1.788391;-0.167801
179;-0.701736;1.611176;-0.078568
180;-0.551773;1.356476;0.005722
181;-0.306854;1.095200;0.035110
182;-0.053391;0.851776;0.185562
183;0.005768;0.725235;0.070770
184;-0.102646;0.794052;0.196686
185;-0.300385;0.905762;0.098999
186;-0.441757;1.026031;0.081940
187;-0.420914;1.120773;0.035507
188;-0.500473;1.306473;-0.000595
189;-0.660660;1.431915;-0.063248
190;-0.952759;1.589783;-0.033173
191;-1.165421;1.612869;-0.120728
192;-1.140381;1.392624;-0.100952
193;-1.127823;1.114517;-0.030640
194;-1.089264;0.882233;0.076294
195;-1.028625;0.744095;0.146530
196;-1.030792;0.689331;-0.003128
197;-0.991776;0.719101;-0.112701
198;-0.932297;0.905228;-0.119827
199;-0.939285;1.245026;-0.182663
200;-1.071472;1.721283;-0.287552
201;-1.107910;1.837616;-0.219879
202;-0.936310;1.846985;-0.091125
203;-0.648849;1.699310;-0.076767
204;-0.411636;1.370895;-0.107895
205;-0.230301;1.065659;-0.026199
206;0.013168;0.852936;0.072952
207;0.025436;0.742691;0.149597
208;-0.171051;0.882355;0.232483
209;-0.133759;0.960403;0.035477
210;-0.360275;1.062866;0.102188
211;-0.560410;1.272873;0.144714
212;-0.673965;1.505829;0.008514
213;-0.900177;1.601669;-0.121429
214;-1.159042;1.585861;-0.111649
215;-1.205460;1.450226;-0.037582
216;-1.221497;1.200851;0.047516
217;-1.212402;0.906174;0.000229
218;-1.222916;0.728592;0.098236
219;-1.122879;0.735260;0.148697
220;-1.146194;0.794937;0.030441
221;-0.936874;0.844696;-0.001007
222;-0.900940;1.180756;-0.013840
223;-1.001328;1.698029;-0.160797
224;-1.089371;2.026947;-0.182526
225;-0.880875;1.835083;-0.231232
226;-0.664001;1.558960;-0.070786
227;-0.487885;1.381592;0.029358
228;-0.299683;1.096558;-0.061340
229;-0.136780;0.845383;-0.001038
230;0.090622;0.649689;0.219193
231;0.010452;0.642441;0.142670
232;-0.172729;0.807892;0.196411
233;-0.256088;0.949753;0.065781
234;-0.506317;1.212723;-0.068436
235;-0.671219;1.371353;-0.006073
236;-0.820053;1.607056;0.037689
237;-0.896423;1.584412;0.009048
238;-1.037415;1.560745;-0.063660
239;-1.111557;1.452164;0.051819
240;-1.077362;1.141449;0.065277
241;-1.182358;0.953476;0.033783
242;-1.065872;0.745499;0.158905
243;-1.079376;0.731247;0.034134
244;-1.125992;0.833282;-0.058823
245;-1.011902;0.933395;-0.043869
246;-0.982925;1.219147;-0.078720
247;-1.037933;1.695984;-0.114258
248;-1.083282;2.073349;-0.059494
249;-0.867050;1.970337;-0.160782
250;-0.704224;1.782120;0.028839
251;-0.331787;1.449341;0.132568
252;-0.113846;1.021194;-0.066437
253;-0.016693;0.786316;0.002853
254;0.093246;0.647110;0.067032
255;-0.050140;0.725037;0.012054
256;-0.177887;0.919662;0.021179
257;-0.275955;1.017654;-0.104111
258;-0.531570;1.312164;-0.013580
259;-0.755035;1.546371;0.011353
260;-0.979126;1.738312;0.059769
261;-1.001450;1.705353;0.034912
262;-1.151596;1.581863;0.098434
263;-1.110016;1.345779;0.199493
264;-0.981216;1.072769;0.185623
265;-0.858795;0.819336;0.254181
266;-0.830826;0.708572;0.298126
267;-0.933975;0.714310;0.259583
268;-1.085739;0.820892;0.111938
269;-1.058914;0.871368;0.162018
270;-0.956665;1.232758;0.156052
271;-1.012268;1.705612;-0.030441
272;-1.103165;2.133835;-0.014603
273;-0.983185;2.010315;-0.022339
274;-0.793198;1.803574;0.109406
275;-0.521378;1.518539;0.101898
276;-0.210785;1.131226;0.049286
277;0.018646;0.890808;0.070663
278;0.109055;0.728943;0.086105
279;-0.010925;0.807343;0.103775
280;-0.106522;0.866074;0.064575
281;-0.367630;1.096039;0.036469
282;-0.571274;1.255173;0.113922
283;-0.707367;1.526291;0.154053
284;-0.830399;1.640274;0.027267
285;-1.017883;1.583618;0.034927
286;-1.082840;1.561508;0.130508
287;-1.120575;1.389038;0.065964
288;-1.101318;1.150665;-0.050262
289;-0.952728;0.882111;0.045990
290;-0.847610;0.718124;0.157883
291;-1.035355;0.754929;0.080231
292;-1.158295;0.665131;0.063980
293;-0.962418;0.803192;0.203003
294;-0.874680;1.251801;0.057816
295;-0.946701;1.722946;-0.193420
296;-0.977173;1.902771;-0.121323
297;-0.796524;1.782211;-0.115128
298;-0.636612;1.601929;-0.029572
299;-0.435684;1.426025;0.055878
300;-0.214218;1.062332;-0.015106
301;-0.046539;0.867935;0.128326
302;0.056488;0.737793;0.093475
303;-0.055496;0.895386;0.098816
304;-0.147141;0.931671;0.000885
305;-0.348740;1.066483;0.012665
306;-0.456650;1.212372;0.108749
307;-0.545715;1.465698;0.112152
308;-0.564255;1.597687;-0.038437
309;-0.792068;1.664520;-0.113174
310;-0.973190;1.633591;-0.127899
311;-1.097977;1.388428;-0.135910
312;-1.076904;1.145523;-0.037811
313;-0.915253;0.899277;0.043228
314;-0.952820;0.743469;-0.039032
315;-1.025009;0.785339;-0.070923
316;-1.023422;0.826675;-0.096512
317;-0.874313;1.051361;-0.071793
318;-0.773453;1.402527;-0.111023
319;-0.889999;1.814133;-0.182358
320;-0.916000;1.919998;-0.187347
321;-0.775070;1.805115;-0.099442
322;-0.623154;1.575394;0.007736
323;-0.435745;1.356110;0.081619
324;-0.261490;1.124969;0.001434
325;-0.005646;0.903152;0.084198
326;0.119873;0.691086;0.124130
327;-0.032471;0.800964;0.112289
328;-0.077393;0.918747;0.054108
329;-0.333603;1.200409;-0.048264
330;-0.561203;1.364563;-0.039459
331;-0.687256;1.532074;0.128403
332;-0.756821;1.628372;0.008835
333;-0.887451;1.649765;-0.058884
334;-1.034363;1.574692;-0.093048
335;-1.134857;1.323334;-0.125320
336;-1.050293;1.049454;0.026764
337;-0.928574;0.873550;0.070404
338;-1.014359;0.826385;-0.021057
339;-1.020370;0.777893;-0.067398
340;-0.895813;0.811905;0.030090
341;-0.830093;1.155228;-0.006195
342;-0.865402;1.646164;-0.091187
343;-0.925858;1.990814;-0.124390
344;-0.784439;1.823654;-0.101105
345;-0.611298;1.620117;-0.057053
346;-0.513107;1.480988;0.020355
347;-0.131805;1.182205;-0.000168
348;-0.015366;0.907730;0.046585
349;0.072525;0.790329;0.084290
350;-0.030884;0.965149;0.043259
351;-0.107895;1.068100;0.044754
352;-0.326172;1.095657;0.007156
353;-0.556519;1.258621;0.106522
354;-0.737595;1.483917;0.203491
355;-0.735016;1.555359;0.125671
356;-0.828949;1.508392;0.022690
357;-0.999237;1.442627;0.001617
358;-1.128738;1.245071;-0.069199
359;-1.033386;0.987488;0.090408
360;-0.933548;0.838135;0.110443
361;-1.028641;0.730148;-0.021103
362;-1.036362;0.768356;-0.065536
363;-0.928299;0.820435;-0.004196
364;-0.987869;1.185913;0.048996
365;-0.930649;1.539261;-0.083954
366;-0.989700;1.853058;-0.166916
367;-0.920670;1.914673;-0.114319
368;-0.731079;1.695480;-0.169052
369;-0.568787;1.537796;-0.099731
370;-0.247208;1.204269;0.037201
371;0.088165;0.820236;0.123856
372;0.129532;0.750168;0.120819
373;0.032150;0.760483;-0.010040
374;-0.176117;0.978439;0.036179
375;-0.221100;1.046982;0.009048
376;-0.492249;1.264984;-0.043060
377;-0.621826;1.449463;0.085449
378;-0.758545;1.661392;0.117584
379;-0.844971;1.741318;0.002258
380;-1.016739;1.677261;0.059586
381;-1.053085;1.416306;0.113174
382;-1.065445;1.162582;0.072571
383;-0.934647;0.920685;0.116425
384;-0.876907;0.755737;0.203293
385;-0.981354;0.767670;0.140793
386;-0.965500;0.858047;0.070602
387;-0.812500;0.912735;0.040436
388;-0.833359;1.327820;0.072021
389;-0.839890;1.747925;-0.007019
